ticker,name,sector,region,style,z_momentum,z_valuation,z_growth,z_quality,z_risk,score_raw,score_adj,score,profile,date,z_efficiency,data_completeness,z_value,z_cashflow,z_dividend,debt_flag,quality_of_earnings,operating_cf_margin,cash_ratio,debt_to_ocf_ratio,cash_conversion_cycle,qoe_flag,cf_quality,mom_6m,revenue_cagr_3y,eps_cagr_3y,pe_ttm,roe,operating_margin,fcf_yield,debt_to_equity
TSM,TSMC,Semiconductors,Asia,Blend,-0.042,0.999,0.433,0.792,0.212,0.423,3.0,98.61,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
BAKKA.OL,Bakkafrost,Food,Europe,Value,0.541,-0.761,-0.937,-0.436,-1.17,-0.5,-6.0,34.81,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
UBER,Uber Technologies,Mobility,US,Growth,-0.346,0.008,-0.266,0.915,-0.009,0.021,0.0,76.73,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
GRAB,Grab Holdings,SuperApp,Asia,Growth,-0.034,-1.087,-0.24,-0.455,1.154,-0.175,0.0,75.48,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
ZTS,Zoetis,Healthcare,US,Blend,-0.141,-0.06,-0.689,0.628,0.571,-0.093,0.0,76.01,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
NU,Nu Holdings,Fintech,LatAm,Growth,-0.109,-0.085,1.002,-0.285,-0.574,0.206,0.0,77.93,growth,11-10-25,0.0,63.6,,,,,,,,,,,,,,,,,,,
BYD,BYD Company,Automotive,China,Growth,-0.331,0.074,-0.83,0.029,0.279,-0.316,0.0,74.57,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
PYPL,PayPal,Fintech,US,Blend,-0.572,0.069,-0.757,-0.145,0.04,-0.397,0.0,74.05,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet,Tech,US,Blend,0.499,-0.084,-0.446,0.933,0.369,0.159,0.0,77.62,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
PEP,PepsiCo,Consumer Defensive,US,Value,0.65,-0.082,-1.037,-0.063,0.334,-0.22,0.0,75.18,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
1810.HK,Xiaomi,Consumer Electronics,China,Growth,-0.135,-0.426,0.484,-0.294,-0.151,0.026,0.0,76.77,growth,11-10-25,0.0,63.6,,,,,,,,,,,,,,,,,,,
MELI,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,-0.334,-0.196,0.594,-0.122,-0.145,0.082,0.0,77.13,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
AMZN,Amazon,Ecommerce,US,Growth,-0.55,-0.161,-0.573,0.14,0.184,-0.28,0.0,74.8,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
MQ,Marqeta,Fintech,US,Growth,-0.288,0.284,-1.73,-0.748,-1.31,-0.915,-11.0,0.0,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
ASR,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,0.038,1.204,-0.118,0.232,0.657,0.199,3.0,97.17,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
ATAT,Atour Lifestyle,Hospitality,China,Growth,0.027,0.552,1.376,0.533,-0.089,0.64,3.0,100.0,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
SE,Sea Ltd,Ecommerce/Fintech,Asia,Growth,-0.031,-0.476,0.208,-0.218,-0.814,-0.106,0.0,75.92,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
TKO,TKO Group Holdings,Media & Sports,US,Blend,0.097,-0.358,1.907,-0.431,-0.115,0.553,0.0,80.16,growth,11-10-25,0.0,72.7,,,,,,,,,,,,,,,,,,,
