ticker,beta_spx,volatility_30d,mom_1m,mom_3m,mom_6m,mom_12m,pe_ttm,pe_forward,peg_ratio,ps_ratio,pb_ratio,ev_ebitda,fcf_yield,earnings_yield,dividend_yield,price_to_cf_ratio,revenue_yoy,revenue_cagr_3y,revenue_cagr_5y,eps_yoy,eps_cagr_3y,eps_cagr_5y,ebitda_yoy,fcf_yoy,ocf_yoy,gross_margin,operating_margin,net_margin,ebitda_margin,fcf_margin,operating_cf_margin,roe,roa,roic,roc,quality_of_earnings,cash_ratio,cf_return_on_investment,debt_to_ocf_ratio,capex_to_ocf_ratio,ocf_to_sales,asset_turnover,inventory_turnover,receivables_turnover,cash_conversion_cycle,debt_to_equity,debt_to_assets,net_debt_ebitda,interest_coverage,current_ratio,quick_ratio,payout_ratio,dividend_growth_5y,name,sector,region,style,asof_date
SPHR,,,-2.8976050308547663,37.126440289376795,,,,-9.652104,,2.0629256,0.92813027,-37.987,-6.5997622030996,,,,78.9532109628096,16.61623266761376,,-139.90854701534693,,,-106.29954726046383,-69.70808600874655,-112.79892702046344,45.7335015243363,-29.638734826154884,-4.4770742854831616,45.795814774180826,-17.912973795572093,-11.50899181459217,,-0.7398036547190288,,7.5674221557211405,2.570650179272183,0.4074883742600147,,,,-11.50899181459217,0.1652426579379819,66.52350121920458,3.2764077143200274,70.91527167565764,,31.72047322704856,2.646790130271583,,0.6302031920190787,0.6215454008077597,,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-17
TSM,,,14.098704892973647,26.216534525740443,,,32.9857,37.10891,,0.42824158,1.5554934,2.415,59.75313844432589,3.0316167308864146,111.00000000000001,0.7284528697439864,33.88813286063912,22.166296051413248,,36.00162021274096,25.051430050757606,,36.470149000975915,200.51952601974605,47.03906455508129,58.58193689765899,48.717459450044416,42.45725167986392,72.62874507818215,27.320873421851132,62.76714858531845,,21.57959256995393,,36.91474755530481,1.4783610832513412,1.6258108796972528,,0.4904556256780584,56.472654824021085,62.76714858531845,0.508266355360642,11.815100681282585,12.500367914192436,-17.85130907907471,,15.646726191672581,-0.43743983595079017,,2.359942059635386,2.139969185176944,1.1996066959745049,166.0,TSMC,Semiconductors,Asia,Blend,2025-10-17
BAKKA.OL,,,-1.3239540706024289,21.37404580152671,,,78.32512,11.951892,,4.32768,2.7128167,32.019,-0.22467094645231292,1.276729611138802,277.0,27.47576549688454,2.700309164918635,9.709064277536438,,-31.287582123414825,-12.016841551676904,,-10.769619421871768,-3475.188600167645,130.25954267142,61.06673939649412,5.0678459117613945,3.4145246894212824,17.970170192586348,-0.9510462796417957,15.406533589444516,,1.2906147882201875,,6.7923267531904665,4.512058043444905,0.6268889604993131,,3.6719739065294887,106.17300623868687,15.406533589444516,0.37797787557920093,1.7535815505750876,,,,21.38311153558576,2.747867736789714,,6.7546853004528415,1.7845251032951377,347.48616225860894,190.0,Bakkafrost,Food,Europe,Value,2025-10-17
UBER,,,-0.4626146522793584,1.9504095240401087,,,15.761498,39.203392,,4.07646,8.543724,38.04,4.426179240095915,6.344574608327204,,21.952774145864147,17.963573938467327,36.07297310190785,,422.3105458399576,,,42.573471008737094,105.08625817965496,99.07949790794979,39.69491453804061,9.526525955504848,26.67596289957956,16.397287190213603,18.04314297183664,18.569225243497918,,24.638982124736554,,15.145187729295136,0.6961032789482021,0.5135064482398048,,1.2659005575150757,2.8330868130617817,18.569225243497918,0.9236398407618452,,12.406553079947575,,,21.711810163141052,0.674268779796418,,1.06700941094458,,,,Uber Technologies,Mobility,US,Growth,2025-10-17
GRAB,,,-6.393440534145178,11.306041145561752,,,285.5,190.33334,,7.5772095,3.6579115,156.502,2.616295509059008,0.3502626970227671,,32.0181390261348,18.56718948707079,60.61874609877733,,,,,-141.89189189189187,-12416.666666666668,890.6976744186046,42.87109375,2.799479166666667,3.61328125,8.365885416666668,19.82421875,23.665364583333336,,1.1941904249596558,,2.764927380311996,6.54954954954955,1.1435185185185186,,0.5006877579092159,16.23108665749656,23.665364583333336,0.3305002689618074,52.067796610169495,4.733436055469954,39.09016927083333,,3.9160839160839163,-10.116731517509727,,2.533179012345679,2.5104166666666665,,,Grab Holdings,SuperApp,Asia,Growth,2025-10-17
ZTS,,,-2.49778694064432,-5.14779060936873,,,24.615118,22.596212,,6.7651005,12.77852,17.37,3.4950129477229335,4.062544002429727,140.0,21.676499075452373,8.333333333333325,5.97962163454151,,6.058020477815695,6.865297331786646,,5.1554828150572884,41.76434299814928,25.499362515937097,71.45444858817261,37.50665956313266,27.831646244006393,42.8236547682472,23.644112946190727,31.20937666489078,,18.346561775654983,,28.229261782678932,1.1213629402756509,0.5817702227432591,,2.302492318197337,24.240355069989757,31.20937666489078,0.6591978647186907,4.069817866435386,7.13145896656535,111.69738945125198,,47.369530097632925,1.1841254043294351,,1.7543962485345839,1.078546307151231,33.93441592649311,79.0,Zoetis,Healthcare,US,Blend,2025-10-17
NU,,,-7.706770006082364,6.353784379269589,,,31.340425,23.758064,,12.169157,7.4356384,,5.13763061675937,3.1907671960415342,,18.060327990973462,46.82767821505831,93.28610591122455,,91.36871318641863,,,,104.19414131287033,89.46966053251133,,,25.65074890756085,,40.783446960982225,43.95369795517071,,4.606471214579321,,,1.7135444315317772,,,0.14664091521838027,7.212705964858508,43.95369795517071,0.17958427768249335,,0.6454922211834582,,,1.1574943881797066,,,,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-17
BYD,,,-0.8932857272846872,0.7159802899748824,,,12.708978,12.7286825,,1.6344523,4.745665,8.489,7.048083469607461,7.8684533091488555,88.0,6.895669148139419,5.127789493731694,5.261492729484396,,-6.7853934450818665,7.6067013371734715,,2.1268758457288817,2.980024640839418,4.6537184696604506,51.602120701418464,23.730896158723887,14.015632650102141,30.108766141870696,11.51975656723251,23.702592332543144,,8.831779392864156,,18.97267051690326,1.691153936770054,0.5085845973485791,,4.117836960222065,51.3987482651164,23.702592332543144,0.6301377621223393,189.6738403578997,24.820360499152674,3.4056616093853496,,61.50359483182789,2.9805508048994884,,0.901751286766182,0.8676489717915158,10.227015268081578,210.0,BYD Company,Automotive,China,Growth,2025-10-17
PYPL,,,-3.7452631768544076,-9.483346653668356,,,14.14347,13.507158,,1.9541295,3.1388113,9.986,8.386322756333529,7.0704006866773135,,10.402694794592813,6.805280306338379,7.815910254312786,,-2.3316062176165775,-0.17621181883088477,,-1.2737920937042513,60.355450236966824,53.83027049349576,46.912547999504525,19.079028861637557,14.48965688096123,22.485445311532267,16.387959866220736,18.78483835005574,,5.733295756699464,,8.89708495178346,1.2964308612951485,0.13562510335703654,,1.6285855588526212,12.759643916913946,18.78483835005574,0.39568195463846784,,0.7078784690253848,,,12.104985847496048,0.45696185098471287,,1.2628576153464528,,,,PayPal,Fintech,US,Blend,2025-10-17
GOOGL,,,0.7734572772860604,37.55528505834569,,,26.808104,28.064734,,8.194524,8.386753,21.213,2.192520360097874,3.7302153110119236,33.0,22.761825025278966,13.86624332290156,10.754330242226517,,35.67043837658379,9.606593302753442,,38.19803819497607,4.703935534930581,23.148821575295344,58.94253888674983,32.67914022385629,31.118285186551393,42.47399696822016,17.966661191871815,36.001173939617495,,25.668286485910237,,35.03517998649657,1.156913812049527,0.2633019905298355,,0.19042241301941545,50.094235199090555,36.001173939617495,0.8248618563661562,,7.095892243026366,,,5.654783056749938,0.012646753049167027,,1.8369313974102914,,4.227873292204927,,Alphabet,Tech,US,Blend,2025-10-17
PEP,,,8.100263957719234,13.89985186183591,,,28.969639,17.690613,,2.2752738,10.780257,14.746,3.3839225798982824,3.451889752578553,373.0,17.127651854282902,0.41871194148965785,4.944012948116239,,5.554331055763706,7.930607479113383,,5.877872286403463,-9.275618374558302,-6.955810147299513,54.432794175349876,13.501111740855388,8.229062213890222,15.68099577102498,7.699350394559009,13.284213279853512,,7.590457136537747,,14.464093618989212,1.6143046357615893,0.2696917808219178,,3.687889727600919,42.041352149655395,13.284213279853512,0.9223963726663115,17.291368262344516,8.87912513306881,10.968140994899073,,45.18885660570843,2.533050670744422,,0.8189370877727042,0.6506849315068494,103.04854694278147,292.0,PepsiCo,Consumer Defensive,US,Value,2025-10-17
1810.HK,,,-18.582819374120707,-19.790576446034912,,,29.273884,40.672565,,2.788224,4.704678,31.26,,3.416014082723017,,,35.0356716978643,3.680159209607603,,35.3813550229231,6.949733358182364,,25.960933981483294,-8.659049066992242,-4.854653679090282,21.721482003085484,7.485714037720593,8.300176584690318,10.584078407521583,,,,4.217334477286245,,5.377789053388804,,0.19192886460808306,,,,,0.508101777625445,3.2769950581415532,,,,8.932382876415645,0.10838749290214342,,1.2869331976470735,0.9305191054262968,,,Xiaomi,Consumer Electronics,China,Growth,2025-10-17
