ticker,beta_spx,volatility_30d,mom_1m,mom_3m,mom_6m,mom_12m,pe_ttm,pe_forward,peg_ratio,ps_ratio,pb_ratio,ev_ebitda,fcf_yield,earnings_yield,dividend_yield,revenue_yoy,revenue_cagr_3y,revenue_cagr_5y,eps_yoy,eps_cagr_3y,eps_cagr_5y,ebitda_yoy,fcf_yoy,gross_margin,operating_margin,net_margin,ebitda_margin,fcf_margin,roe,roa,roic,roc,asset_turnover,inventory_turnover,receivables_turnover,debt_to_equity,debt_to_assets,net_debt_ebitda,interest_coverage,current_ratio,quick_ratio,payout_ratio,dividend_growth_5y,name,sector,region,style,asof_date
SPHR,,,4.037372652682714,41.32511251536117,,,,-9.81958,,2.0987198,0.94423443,-37.656,-6.016090709294573,,,78.9532109628096,16.61623266761376,,-139.90854701534693,,,-106.29954726046383,-69.70808600874655,45.7335015243363,-29.638734826154884,-4.4770742854831616,45.795814774180826,-16.612105707539776,,-0.7398036547190288,,7.5674221557211405,0.1652426579379819,66.52350121920458,3.2764077143200274,,31.72047322704856,2.646790130271583,,0.6302031920190787,0.6215454008077597,,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-13
TSM,,,16.758579502160863,31.41927802348874,,,33.20066,37.47401,,0.4617276,1.7140383,2.422,59.17097796764719,3.011988315894925,119.0,33.88813286063912,22.166296051413248,,36.00162021274096,25.051430050757606,,36.470149000975915,200.51952601974605,58.58193689765899,48.717459450044416,42.45725167986392,72.62874507818215,27.320873421851132,,21.57959256995393,,36.91474755530481,0.508266355360642,11.815100681282585,12.500367914192436,,15.646726191672581,-0.43743983595079017,,2.359942059635386,2.139969185176944,1.1996066959745049,166.0,TSMC,Semiconductors,Asia,Blend,2025-10-13
BAKKA.OL,,,2.881719117523529,2.3096637408037024,,,79.86645,11.986971,,4.340382,2.720779,31.598,-0.22401347250745207,1.2520902080911323,281.0,2.700309164918635,9.709064277536438,,-31.287582123414825,-12.016841551676904,,-10.769619421871768,-3475.188600167645,61.06673939649412,5.0678459117613945,3.4145246894212824,17.970170192586348,-0.9510462796417957,,1.2906147882201875,,6.7923267531904665,0.37797787557920093,1.7535815505750876,,,21.38311153558576,2.747867736789714,,6.7546853004528415,1.7845251032951377,347.48616225860894,190.0,Bakkafrost,Food,Europe,Value,2025-10-13
UBER,,,-1.6060078478773998,-1.0902620004002217,,,16.073254,39.978813,,4.15709,8.712715,38.39,4.3403298210768035,6.2215155686583445,,17.963573938467327,36.07297310190785,,422.3105458399576,,,42.573471008737094,105.08625817965496,39.69491453804061,9.526525955504848,26.67596289957956,16.397287190213603,18.04314297183664,,24.638982124736554,,15.145187729295136,0.9236398407618452,,12.406553079947575,,21.711810163141052,0.674268779796418,,1.06700941094458,,,,Uber Technologies,Mobility,US,Growth,2025-10-13
GRAB,,,-1.6666650772094727,18.00000190734863,,,295.25003,196.83334,,7.835975,3.7828317,161.866,2.52989805438387,0.33869598590726646,,18.56718948707079,60.61874609877733,,,,,-141.89189189189187,-12416.666666666668,42.87109375,2.799479166666667,3.61328125,8.365885416666668,19.82421875,,1.1941904249596558,,2.764927380311996,0.3305002689618074,52.067796610169495,4.733436055469954,,3.9160839160839163,-10.116731517509727,,2.533179012345679,2.5104166666666665,,,Grab Holdings,SuperApp,Asia,Growth,2025-10-13
ZTS,,,-3.55600835423866,-7.454878243726737,,,24.600687,22.544163,,6.7495165,12.749084,17.13,3.503082380088427,4.06492712988056,142.0,8.333333333333325,5.97962163454151,,6.058020477815695,6.865297331786646,,5.1554828150572884,41.76434299814928,71.45444858817261,37.50665956313266,27.831646244006393,42.8236547682472,23.644112946190727,,18.346561775654983,,28.229261782678932,0.6591978647186907,4.069817866435386,7.13145896656535,,47.369530097632925,1.1841254043294351,,1.7543962485345839,1.078546307151231,33.93441592649311,79.0,Zoetis,Healthcare,US,Blend,2025-10-13
NU,,,-4.238368257730585,17.108337551651154,,,31.968084,24.23387,,12.41287,7.5845532,,5.036758471697306,3.1281199085938334,,46.82767821505831,93.28610591122455,,91.36871318641863,,,,104.19414131287033,,,25.65074890756085,,40.783446960982225,,4.606471214579321,,,0.17958427768249335,,0.6454922211834582,,1.1574943881797066,,,,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-13
BYD,,,-2.1065074311205634,4.0625196156023335,,,12.804954,12.824807,,1.6467953,4.781503,8.453,6.995256955744453,7.809477488165909,88.0,5.127789493731694,5.261492729484396,,-6.7853934450818665,7.6067013371734715,,2.1268758457288817,2.980024640839418,51.602120701418464,23.730896158723887,14.015632650102141,30.108766141870696,11.51975656723251,,8.831779392864156,,18.97267051690326,0.6301377621223393,189.6738403578997,24.820360499152674,,61.50359483182789,2.9805508048994884,,0.901751286766182,0.8676489717915158,10.227015268081578,210.0,BYD Company,Automotive,China,Growth,2025-10-13
PYPL,,,2.773214791239287,-3.664514912280137,,,14.720557,14.058283,,2.0338626,3.2668824,10.54,8.057554910822534,6.793221207594251,,6.805280306338379,7.815910254312786,,-2.3316062176165775,-0.17621181883088477,,-1.2737920937042513,60.355450236966824,46.912547999504525,19.079028861637557,14.48965688096123,22.485445311532267,16.387959866220736,,5.733295756699464,,8.89708495178346,0.39568195463846784,,0.7078784690253848,,12.104985847496048,0.45696185098471287,,1.2628576153464528,,,,PayPal,Fintech,US,Blend,2025-10-13
GOOGL,,,0.6644480167978584,34.6394250736118,,,25.86873,27.052456,,7.906815,8.084248,19.935,2.2723006596274242,3.8656710244376127,36.0,13.86624332290156,10.754330242226517,,35.67043837658379,9.606593302753442,,38.19803819497607,4.703935534930581,58.94253888674983,32.67914022385629,31.118285186551393,42.47399696822016,17.966661191871815,,25.668286485910237,,35.03517998649657,0.8248618563661562,,7.095892243026366,,5.654783056749938,0.012646753049167027,,1.8369313974102914,,4.227873292204927,,Alphabet,Tech,US,Blend,2025-10-13
PEP,,,2.9471161175465665,10.310091957361855,,,28.140953,17.119352,,2.201801,10.432143,14.538,3.496842102723305,3.5535399245363157,379.0,0.41871194148965785,4.944012948116239,,5.554331055763706,7.930607479113383,,5.877872286403463,-9.275618374558302,54.432794175349876,13.501111740855388,8.229062213890222,15.68099577102498,7.699350394559009,,7.590457136537747,,14.464093618989212,0.9223963726663115,17.291368262344516,8.87912513306881,,45.18885660570843,2.533050670744422,,0.8189370877727042,0.6506849315068494,103.04854694278147,292.0,PepsiCo,Consumer Defensive,US,Value,2025-10-13
1810.HK,,,-10.68243648841537,-13.743408585441907,,,31.261147,43.43363,,2.9793222,5.024056,34.3,,3.198858954215596,,35.0356716978643,3.680159209607603,,35.381355022923074,6.949733358182364,,25.960933981483294,-8.659049066992242,21.721482003085484,7.485714037720593,8.300176584690318,10.584078407521583,,,4.217334477286245,,5.377789053388804,0.508101777625445,3.2769950581415532,,,8.932382876415645,0.10838749290214342,,1.2869331976470735,0.9305191054262968,,,Xiaomi,Consumer Electronics,China,Growth,2025-10-13
MELI,,,-6.634301184332858,-8.514944531621094,,,53.876663,45.145924,,4.595417,19.382364,31.056,6.669305255870964,1.8560911985213338,,37.53226980869795,43.243509473001815,,93.61702127659575,184.4859776922911,,42.78098622834297,52.407687324551944,45.870683930942896,12.304946879150066,8.520086321381141,14.724435590969456,30.648240371845947,,8.148118749007779,,14.081600254008572,0.9563422765518336,81.4054054054054,2.3003341288782817,,27.18685505635815,1.1879932356257046,,1.2131542492320664,1.195326145877251,,34.0,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,2025-10-13
AMZN,,,-3.510845812457142,-2.164256636525441,,,33.557926,35.79512,,3.503941,7.030756,17.738,0.5742035473901165,2.9799219415407254,,10.990892246666139,10.735398559596486,,94.73459326211997,21.096575182152733,,38.492427462472875,2.051711829158509,49.60658947701474,11.370996868834304,10.5401484691913,21.448634256564553,2.011975440198914,,11.301596750808937,,22.99814048462619,1.0722426523538393,19.583737651253873,12.08342500586103,,20.947552704938758,0.3626716951723562,,1.063734806137178,0.8730542659852534,,,Amazon,Ecommerce,US,Growth,2025-10-13
MQ,,,-19.125210732582197,-17.425567056247914,,,,-26.194445,,3.8201914,2.5119874,-17.247,1.4584434235808388,,,-25.01970655351975,-0.660481400236379,,,,,-97.42685676928389,337.2175558973145,70.69042807408238,-19.41752135670671,-11.689339903329946,-15.449674814089102,5.571542707990644,,-4.419616130081656,,-5.841359099619738,0.378089453008603,150.4956474428727,4.66499704865503,,0.9033600236193996,,,3.3675135113279513,3.3576047549092283,,,Marqeta,Fintech,US,Growth,2025-10-13
ASR,,,-8.98516586347281,2.276925519529338,,,12.8078785,17.440819,,0.2797683,2.7009454,5.006,83.63774562930732,7.807694303158795,823.0,21.343114326880187,18.59468379522462,,32.808802050782894,31.321940167404772,,32.03730025518794,-7.43413782339537,52.955971810924176,55.04409018054681,41.26301857442425,72.26978220315934,33.24025283330055,,11.810432332427256,,20.685286774407498,0.28622317853758833,411.1778941944349,7.6663282720385375,,16.000085703949864,-0.3873589910859234,,4.358074545872724,4.348184968726039,7.211029572998691,236.0,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,2025-10-13
ATAT,,,-9.780684226134728,0.9306312452760146,,,25.748203,24.020134,,0.5918035,1.5061865,5.743,34.391623169862854,3.8837661797213574,120.0,55.33611789367563,49.99903163283304,,73.01370030265744,106.39523440179181,,66.71255709487474,-14.339402655435428,43.75722975653213,22.229687727168567,16.530805777941847,23.405522705339447,20.35308315050159,,17.53400956032215,,24.82593192325647,1.060686925722577,49.91133925798514,14.314560608967332,,21.99332285290654,-0.9640330288156017,,2.019543731099064,1.960383603094745,3.4544870485974384,,Atour Lifestyle,Hospitality,China,Growth,2025-10-13
SE,,,-6.659019500817731,23.428437810140345,,,94.81606,86.72749,,5.5903454,11.518537,57.236,3.9156923793456775,1.0546736491687168,,28.75407622424515,19.103445750474933,,194.78722980773057,,,31.989338454841555,62.280838046213226,44.95801333034319,7.49404285388606,6.19040596316286,8.670894626137674,21.890072503336818,,5.302228210164395,,7.426825052775701,0.8565235045514416,135.28647222261006,3.2316652144730207,,18.22783430478281,1.0229868230146744,,1.4923372135927349,1.4796562581664978,,,Sea Ltd,Ecommerce/Fintech,Asia,Growth,2025-10-13
TKO,,,-6.054148271269599,10.572086561256167,,,77.97119,58.478394,,5.2470565,3.6328254,25.523,4.697735594543685,1.2825249941677175,163.0,67.42654188020309,39.54841145358105,,-95.48074706017985,-67.43168485072668,,10.671698088506986,21.134823751393682,61.97954680569773,21.63623503510001,5.407065532411911,31.358488234580822,18.742326719410897,,1.6607485266067483,,9.631576096131509,0.3071441462382173,,17.61767136837256,,23.90072674381981,2.051841720596074,,1.2965897619796707,,118.38765252188095,,TKO Group Holdings,Media & Sports,US,Blend,2025-10-13
D05.SI,,,3.108709368392515,17.066195363076474,,,13.5533,13.870131,,6.8577704,2.2429435,,,7.378276877218094,490.00000000000006,10.345683917751058,16.170262937166925,,12.194394752534276,18.379303704798122,,,207.50373054785757,,,49.224721554924656,,,,1.362396173202018,,,0.0276770722142504,,0.9727651257647859,,7.845806249614673,,,,,66.47749246637089,444.00000000000006, DBS Group Holdings Ltd, Bank,Singapour,,2025-10-13
ABBNY,,,2.492297430596757,23.128672849192533,,,32.105263,29.397589,,3.9866216,9.495395,20.348,2.7843602414652953,3.1147541136791186,143.0,1.9078641228478466,4.308717735492351,,5.073431241655535,-4.697322590758846,,5.16029487399281,8.806818181818187,38.867047891350964,16.00845842268287,12.470216821539195,19.904098165356206,11.10019061234215,,10.374903981960998,,16.559704636122603,0.8319746264588547,5.730670762928828,,,19.35475877790718,0.5237168936106539,,1.3702681388012619,0.9852129337539433,44.78756453785527,238.0,ABB Ltd,Industrials,Europe,Blend,2025-10-13
KNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Konami Group Corp,Entertainment,Asia,Blend,2025-10-13
LMND,,,-5.402321036854607,30.251438304715773,,,,-19.812748,,6.1168156,6.964986,-18.602,-0.5824125568617544,,,22.49883666821777,60.05814670083849,,,,,,-83.7879968823071,,,-33.96037955718329,,-3.5625104045280507,,-11.032394137688605,,,0.3248607430641934,,1.2635675220866638,,5.797414958628522,,,,,,,Lemonade Inc,Fintech,US,Growth,2025-10-13
NVTS,,,61.529984169315675,70.6575322959186,,,,-47.452385,,31.15311,5.4602737,-18.504,-2.3795283934075253,,,4.8404148207813025,51.96700290900746,,,,,-31.238677536231883,42.09830809557853,27.09375504276263,-164.63684774157582,-182.63089178048028,-72.51455983100327,-74.12971085715962,,-31.92333926529189,,-12.675330403253518,0.17479703983301623,4.4044065387348965,4.875339722500358,,1.8770289606080344,,,5.687949300037836,4.9559685962920925,,,Navitas Semiconductor,Semiconductors,US,Growth,2025-10-13
MHVYF,,,0.5802693087687549,18.993132933991852,,,54.166668,41.935482,,0.017239816,0.036748856,1.368,665.2628251702122,1.8461538007100602,64.0,7.94540090746545,9.203103734475903,,10.550258306571859,29.300936714618796,,14.149316930939593,69.75219683655536,20.39964768560953,6.38039928964253,6.013190307057745,11.693686984417965,41.961431599450044,,1.2610595946131837,,2.452348157149714,0.20971556365562966,1.314294534188147,,,16.988840839751287,2.8993141457440292,,1.2432486550070416,0.9055401282586302,0.6797464942541055,279.0,Mitsubishi Heavy Industries,Industrials,Asia,Value,2025-10-13
