ticker,beta_spx,volatility_30d,mom_1m,mom_3m,mom_6m,mom_12m,pe_ttm,pe_forward,peg_ratio,ps_ratio,pb_ratio,ev_ebitda,fcf_yield,earnings_yield,dividend_yield,revenue_yoy,revenue_cagr_3y,revenue_cagr_5y,eps_yoy,eps_cagr_3y,eps_cagr_5y,ebitda_yoy,fcf_yoy,gross_margin,operating_margin,net_margin,ebitda_margin,fcf_margin,roe,roa,roic,roc,asset_turnover,inventory_turnover,receivables_turnover,debt_to_equity,debt_to_assets,net_debt_ebitda,interest_coverage,current_ratio,quick_ratio,payout_ratio,dividend_growth_5y,name,sector,region,style,asof_date
SPHR,,,3.5287959419549875,37.10765757267991,,,,-9.542071,,2.0394087,0.9175497,-37.656,-6.191054196178195,,,78.9532109628096,16.61623266761376,,-139.90854701534693,,,-106.29954726046383,-69.70808600874655,45.7335015243363,-29.638734826154884,-4.4770742854831616,45.795814774180826,-16.612105707539776,,-0.7398036547190288,,7.5674221557211405,0.1652426579379819,66.52350121920458,3.2764077143200274,,31.72047322704856,2.646790130271583,,0.6302031920190787,0.6215454008077597,,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-12
TSM,,,8.400602407153347,22.153556046398258,,,30.774124,34.73515,,0.42798132,1.5887644,2.422,63.83660203465759,3.249483234681189,119.0,33.88813286063912,22.166296051413248,,36.00162021274096,25.051430050757606,,36.470149000975915,200.51952601974605,58.58193689765899,48.717459450044416,42.45725167986392,72.62874507818215,27.320873421851132,,21.57959256995393,,36.91474755530481,0.508266355360642,11.815100681282585,12.500367914192436,,15.646726191672581,-0.43743983595079017,,2.359942059635386,2.139969185176944,1.1996066959745049,166.0,TSMC,Semiconductors,Asia,Blend,2025-10-12
BAKKA.OL,,,3.0775926300113943,3.66173033076187,,,79.399,11.916813,,4.314978,2.7048547,31.598,-0.22533230746384203,1.259461706066827,281.0,2.700309164918635,9.709064277536438,,-31.287582123414825,-12.016841551676904,,-10.769619421871768,-3475.188600167645,61.06673939649412,5.0678459117613945,3.4145246894212824,17.970170192586348,-0.9510462796417957,,1.2906147882201875,,6.7923267531904665,0.37797787557920093,1.7535815505750876,,,21.38311153558576,2.747867736789714,,6.7546853004528415,1.7845251032951377,347.48616225860894,190.0,Bakkafrost,Food,Europe,Value,2025-10-12
UBER,,,-1.3519209708186986,-3.1120331457615613,,,15.911414,39.576275,,4.1152334,8.624989,38.39,4.384476403168087,6.284796561763775,,17.963573938467327,36.07297310190785,,422.3105458399576,,,42.573471008737094,105.08625817965496,39.69491453804061,9.526525955504848,26.67596289957956,16.397287190213603,18.04314297183664,,24.638982124736554,,15.145187729295136,0.9236398407618452,,12.406553079947575,,21.711810163141052,0.674268779796418,,1.06700941094458,,,,Uber Technologies,Mobility,US,Growth,2025-10-12
GRAB,,,5.967448665205222,19.105691923657986,,,293.0,195.33334,,7.77626,3.754004,161.866,2.5493256076828708,0.3412969283276451,,18.56718948707079,60.61874609877733,,,,,-141.89189189189187,-12416.666666666668,42.87109375,2.799479166666667,3.61328125,8.365885416666668,19.82421875,,1.1941904249596558,,2.764927380311996,0.3305002689618074,52.067796610169495,4.733436055469954,,3.9160839160839163,-10.116731517509727,,2.533179012345679,2.5104166666666665,,,Grab Holdings,SuperApp,Asia,Growth,2025-10-12
ZTS,,,-6.307682067260445,-10.842663432966981,,,24.287436,22.257097,,6.663572,12.586744,17.13,3.54826414346134,4.11735516256224,142.0,8.333333333333325,5.97962163454151,,6.058020477815695,6.865297331786646,,5.1554828150572884,41.76434299814928,71.45444858817261,37.50665956313266,27.831646244006393,42.8236547682472,23.644112946190727,,18.346561775654983,,28.229261782678932,0.6591978647186907,4.069817866435386,7.13145896656535,,47.369530097632925,1.1841254043294351,,1.7543962485345839,1.078546307151231,33.93441592649311,79.0,Zoetis,Healthcare,US,Blend,2025-10-12
NU,,,-4.481432870638469,14.504991420224567,,,31.74468,24.064516,,12.326125,7.53155,,5.072204751136476,3.1501341327113708,,46.82767821505831,93.28610591122455,,91.36871318641863,,,,104.19414131287033,,,25.65074890756085,,40.783446960982225,,4.606471214579321,,,0.17958427768249335,,0.6454922211834582,,1.1574943881797066,,,,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-12
BYD,,,-4.973022399104177,-4.282896249916712,,,12.622292,12.641861,,1.6233038,4.713295,8.453,7.096488555954757,7.922491414396054,88.0,5.127789493731694,5.261492729484396,,-6.7853934450818665,7.6067013371734715,,2.1268758457288817,2.980024640839418,51.602120701418464,23.730896158723887,14.015632650102141,30.108766141870696,11.51975656723251,,8.831779392864156,,18.97267051690326,0.6301377621223393,189.6738403578997,24.820360499152674,,61.50359483182789,2.9805508048994884,,0.901751286766182,0.8676489717915158,10.227015268081578,210.0,BYD Company,Automotive,China,Growth,2025-10-12
PYPL,,,3.8204248893612958,-7.741084341599347,,,14.955031,14.282208,,2.0662587,3.3189182,10.54,7.931223522014926,6.686712986419085,,6.805280306338379,7.815910254312786,,-2.3316062176165775,-0.17621181883088477,,-1.2737920937042513,60.355450236966824,46.912547999504525,19.079028861637557,14.48965688096123,22.485445311532267,16.387959866220736,,5.733295756699464,,8.89708495178346,0.39568195463846784,,0.7078784690253848,,12.104985847496048,0.45696185098471287,,1.2628576153464528,,,,PayPal,Fintech,US,Blend,2025-10-12
GOOGL,,,-1.5808910721640368,33.307962389323855,,,25.2476,26.402903,,7.7169657,7.890138,19.935,2.328202837015405,3.960772509070169,36.0,13.86624332290156,10.754330242226517,,35.67043837658379,9.606593302753442,,38.19803819497607,4.703935534930581,58.94253888674983,32.67914022385629,31.118285186551393,42.47399696822016,17.966661191871815,,25.668286485910237,,35.03517998649657,0.8248618563661562,,7.095892243026366,,5.654783056749938,0.012646753049167027,,1.8369313974102914,,4.227873292204927,,Alphabet,Tech,US,Blend,2025-10-12
PEP,,,4.056025984058631,11.36693953085597,,,28.586666,17.3905,,2.2366745,10.597374,14.538,3.4423203400385627,3.4981344099378355,379.0,0.41871194148965785,4.944012948116239,,5.554331055763706,7.930607479113383,,5.877872286403463,-9.275618374558302,54.432794175349876,13.501111740855388,8.229062213890222,15.68099577102498,7.699350394559009,,7.590457136537747,,14.464093618989212,0.9223963726663115,17.291368262344516,8.87912513306881,,45.18885660570843,2.533050670744422,,0.8189370877727042,0.6506849315068494,103.04854694278147,292.0,PepsiCo,Consumer Defensive,US,Value,2025-10-12
1810.HK,,,-7.384344251852015,-9.320561231006764,,,33.152866,46.061947,,3.159611,5.3280787,34.3,,3.0163304735101932,,35.0356716978643,3.680159209607603,,35.381355022923074,6.949733358182364,,25.960933981483294,-8.659049066992242,21.721482003085484,7.485714037720593,8.300176584690318,10.584078407521583,,,4.217334477286245,,5.377789053388804,0.508101777625445,3.2769950581415532,,,8.932382876415645,0.10838749290214342,,1.2869331976470735,0.9305191054262968,,,Xiaomi,Consumer Electronics,China,Growth,2025-10-12
MELI,,,-8.74732843931364,-11.174812242135946,,,52.631226,44.102314,,4.4891877,18.934313,31.056,6.827123715639146,1.9000127414854444,,37.53226980869795,43.243509473001815,,93.61702127659575,184.4859776922911,,42.78098622834297,52.407687324551944,45.870683930942896,12.304946879150066,8.520086321381141,14.724435590969456,30.648240371845947,,8.148118749007779,,14.081600254008572,0.9563422765518336,81.4054054054054,2.3003341288782817,,27.18685505635815,1.1879932356257046,,1.2131542492320664,1.195326145877251,,34.0,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,2025-10-12
AMZN,,,-5.905632533716155,-2.6500492824709787,,,32.98323,35.182114,,3.4439342,6.910351,17.738,0.5842084240346948,3.0318437581765036,,10.990892246666139,10.735398559596486,,94.73459326211997,21.096575182152733,,38.492427462472875,2.051711829158509,49.60658947701474,11.370996868834304,10.5401484691913,21.448634256564553,2.011975440198914,,11.301596750808937,,22.99814048462619,1.0722426523538393,19.583737651253873,12.08342500586103,,20.947552704938758,0.3626716951723562,,1.063734806137178,0.8730542659852534,,,Amazon,Ecommerce,US,Growth,2025-10-12
MQ,,,-17.25292745677175,-17.391303654446478,,,,-27.444443,,4.002491,2.6318593,-17.247,1.3920163606140106,,,-25.01970655351975,-0.660481400236379,,,,,-97.42685676928389,337.2175558973145,70.69042807408238,-19.41752135670671,-11.689339903329946,-15.449674814089102,5.571542707990644,,-4.419616130081656,,-5.841359099619738,0.378089453008603,150.4956474428727,4.66499704865503,,0.9033600236193996,,,3.3675135113279513,3.3576047549092283,,,Marqeta,Fintech,US,Growth,2025-10-12
ASR,,,-9.812975906809706,-0.39207564382791604,,,12.692121,17.283186,,0.2772397,2.6765342,5.006,84.4005637725289,7.8789037702997,823.0,21.343114326880187,18.59468379522462,,32.808802050782894,31.321940167404772,,32.03730025518794,-7.43413782339537,52.955971810924176,55.04409018054681,41.26301857442425,72.26978220315934,33.24025283330055,,11.810432332427256,,20.685286774407498,0.28622317853758833,411.1778941944349,7.6663282720385375,,16.000085703949864,-0.3873589910859234,,4.358074545872724,4.348184968726039,7.211029572998691,236.0,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,2025-10-12
ATAT,,,-12.803207130993876,-3.2195389584044443,,,25.08633,23.402683,,0.5765909,1.4674691,5.743,35.29900224668027,3.986234734215806,120.0,55.33611789367563,49.99903163283304,,73.01370030265744,106.39523440179181,,66.71255709487474,-14.339402655435428,43.75722975653213,22.229687727168567,16.530805777941847,23.405522705339447,20.35308315050159,,17.53400956032215,,24.82593192325647,1.060686925722577,49.91133925798514,14.314560608967332,,21.99332285290654,-0.9640330288156017,,2.019543731099064,1.960383603094745,3.4544870485974384,,Atour Lifestyle,Hospitality,China,Growth,2025-10-12
