ticker,mom_3m,mom_6m,beta_spx,volatility_30d,pe_ttm,fcf_yield,pb_ratio,revenue_yoy,eps_yoy_1y,gross_margin_ttm,oper_margin,roe,roa,roic_ttm,net_debt_ebitda,debt_equity,name,sector,region,style,asof_date
SPHR,39.22344432674847,,1.685270444607116,0.5167216237892807,-60.85782807971332,-6.096968293517254,,78.9532109628096,-139.90854701534693,45.7335015243363,-29.638734826154884,,-0.8435457355823123,-27.94292338347781,-2.827191661940117,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-10
TSM,24.23398731971753,,1.4433044985788932,0.3224804928528827,1.0251968210409879,62.767589446946324,,33.88813286063913,36.00162021274096,58.58193689765899,48.717459450044416,,20.61066962047457,-90.30852555807277,-0.8747789814063476,,TSMC,Semiconductors,Asia,Blend,2025-10-10
BAKKA.OL,3.66173033076187,,0.07409446647754722,0.34433396591749266,125.64417245129691,-0.22168129176304746,,2.700309164918636,-31.287582123414822,61.06673939649412,5.0678459117613945,,1.2953716550500327,5.636240759316548,14.016434601274833,,Bakkafrost,Food,Europe,Value,2025-10-10
UBER,-1.8361039880126717,,1.1004426334371145,0.3238344313752144,15.629903657698918,4.32748712698469,,17.96357393846732,422.3105458399576,39.69491453804061,9.526525955504848,,22.553677967918258,60.333841463414636,1.30938123752495,,Uber Technologies,Mobility,US,Growth,2025-10-10
GRAB,21.817073251102826,,1.3340011570337607,0.3899233055375329,220.1124780719989,2.4925831259288507,,18.56718948707079,-75.80645161290323,42.87109375,2.799479166666667,,0.9959623149394347,-3.810431856421761,-20.732558139534884,,Grab Holdings,SuperApp,Asia,Growth,2025-10-10
ZTS,-10.624681788737512,,0.5651544619657293,0.23538856635336824,24.43636743396996,3.476542019697151,,8.333333333333329,6.058020477815688,71.45444858817261,37.50665956313266,,18.039919883969887,51.919342793129196,1.521590909090909,,Zoetis,Healthcare,US,Blend,2025-10-10
NU,15.310820617370569,,1.311037339002317,0.37244576484173764,31.566960516162382,5.036758319807584,,46.82767821505831,91.36871318641863,,,,3.6666056433729852,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-10
BYD,-3.109029403272412,,1.0294674774201547,0.23676538332719976,11.724136799868967,7.010511699617786,,5.127789493731697,-6.785393445081866,51.602120701418464,23.730896158723887,,8.60483772994628,19.1718352249732,4.120627945784488,,BYD Company,Automotive,China,Growth,2025-10-10
PYPL,-5.779392571166531,,1.2386497950604296,0.3207763156818185,14.563445569788735,7.766094186606104,,6.805280306338375,-2.3316062176165815,46.912547999504525,19.079028861637557,,5.865098963360367,105.62478298611111,0.7479305307579939,,PayPal,Fintech,US,Blend,2025-10-10
GOOGL,34.94781043192914,,1.0507377322939566,0.286743885340718,25.09178979721174,2.3010183436768266,,13.866243322901568,35.670438376583775,58.94253888674983,32.67914022385629,,23.020079553353927,660.2100117055704,0.11965889429018703,,Alphabet,Tech,US,Blend,2025-10-10
PEP,11.099800900026091,,0.17820682342288616,0.23850670306318023,27.11498870661674,3.450597561357386,,0.4187119414896614,5.554331055763711,54.432794175349876,13.501111740855388,,7.166927713702596,22.365849198912073,3.532170824251231,,PepsiCo,Consumer Defensive,US,Value,2025-10-10
1810.HK,-9.320561231006764,,0.595947589173941,0.36891459877387694,79.67803081730632,,,35.0356716978643,35.38135502292309,21.721482003085484,7.485714037720593,,3.53100310788538,-919.1835850476821,-0.08594583420014178,,Xiaomi,Consumer Electronics,China,Growth,2025-10-10
MELI,-10.899011911980505,,0.8130935994568362,0.33634377382515246,52.85306101553462,6.80599154889515,,37.53226980869795,93.61702127659575,45.870683930942896,12.304946879150066,,6.231030715066165,39.22877239993301,2.0138279932546372,,MercadoLibre,Ecommerce/Fintech,LatAm,Growth,2025-10-10
AMZN,-1.3002787101029756,,1.3780844484309884,0.2976862581219879,33.127475675688146,0.5762190377632601,,10.990892246666135,94.73459326211997,49.60658947701474,11.370996868834304,,10.35269800782796,78.99170581905037,1.0001050006562542,,Amazon,Ecommerce,US,Growth,2025-10-10
MQ,-17.307689700851668,,0.6384865073156483,0.4378104604470952,-34.27523714332052,1.390608912167015,,-25.019706553519754,-112.23840833864067,70.69042807408238,-19.41752135670671,,-5.324265801628533,11.815067997282336,6.686377092215747,,Marqeta,Fintech,US,Growth,2025-10-10
ASR,-1.1156801170934871,,0.6524341472460966,0.25629043971435217,0.9544524120929646,84.40128198489818,,21.343114326880183,32.8088020507829,52.955971810924176,55.04409018054681,,11.810432332427256,-155.33431341168887,-0.508580482089769,,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,2025-10-10
ATAT,-3.1501480987709107,,0.5656349491140743,0.3696472051819046,3.490478868483406,35.273712464329506,,55.336117893675635,73.01370030265747,43.75722975653213,22.229687727168567,,16.53363295141443,-144.21559089859431,-0.5477909809040628,,Atour Lifestyle,Hospitality,China,Growth,2025-10-10
SE,22.141903067261847,,1.4045413820131571,0.44350489670070264,90.05246098203145,3.9267430472132907,,28.754076224245154,194.78722980773057,44.95801333034319,7.49404285388606,,4.715545071797192,56.619621841108916,1.3952760091138885,,Sea Ltd,Ecommerce/Fintech,Asia,Growth,2025-10-10
TKO,10.32220816794358,,0.8415188659568729,0.3159856392715303,74.00007315136328,4.684138439036074,,67.4265418802031,-95.48074706017985,61.97954680569773,21.63623503510001,,1.374775489425719,26.40836857504653,2.9914759700320035,,TKO Group Holdings,Media & Sports,US,Blend,2025-10-10
