ticker,mom_3m,mom_6m,beta_spx,volatility_30d,pe_ttm,fcf_yield,pb_ratio,revenue_yoy,eps_yoy_1y,gross_margin_ttm,oper_margin,roe,roa,roic_ttm,net_debt_ebitda,debt_equity,name,sector,region,style,asof_date
SPHR,37.10765757267991,,1.6683823582656094,0.5121992477002955,-59.93296813852237,-6.191054101587905,,78.9532109628096,-139.90854701534693,45.7335015243363,-29.638734826154884,,-0.8435457355823123,-27.94292338347781,-2.827191661940117,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-11
TSM,22.153556046398258,,1.4488357717195175,0.3262060905782575,1.0080288014529803,63.836601764415754,,33.88813286063913,36.00162021274096,58.58193689765899,48.717459450044416,,20.61066962047457,-90.30852555807277,-0.8747789814063476,,TSMC,Semiconductors,Asia,Blend,2025-10-11
BAKKA.OL,3.66173033076187,,0.07436152387276929,0.34433396591749266,123.60839258869234,-0.2253322923159716,,2.700309164918636,-31.287582123414822,61.06673939649412,5.0678459117613945,,1.2953716550500327,5.636240759316548,14.016434601274833,,Bakkafrost,Food,Europe,Value,2025-10-11
UBER,-3.1120331457615613,,1.08465783008618,0.32613032127461944,15.426746991960746,4.384476319599389,,17.96357393846732,422.3105458399576,39.69491453804061,9.526525955504848,,22.553677967918258,60.333841463414636,1.30938123752495,,Uber Technologies,Mobility,US,Growth,2025-10-11
GRAB,19.105691923657986,,1.3432200034644126,0.3955543524631071,215.2132562547761,2.549325530389919,,18.56718948707079,-75.80645161290323,42.87109375,2.799479166666667,,0.9959623149394347,-3.810431856421761,-20.732558139534884,,Grab Holdings,SuperApp,Asia,Growth,2025-10-11
ZTS,-10.842663432966981,,0.5637372644626676,0.23541755327026634,23.94242726049683,3.54826422854475,,8.333333333333329,6.058020477815688,71.45444858817261,37.50665956313266,,18.039919883969887,51.919342793129196,1.521590909090909,,Zoetis,Healthcare,US,Blend,2025-10-11
NU,14.504991420224567,,1.3039994320850103,0.3731726180919648,31.346360417118017,5.072204520560297,,46.82767821505831,91.36871318641863,,,,3.6666056433729852,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-11
BYD,-4.282896249916712,,1.0276728182177557,0.2395493001665555,11.582094921145613,7.096488050131694,,5.127789493731697,-6.785393445081866,51.602120701418464,23.730896158723887,,8.60483772994628,19.1718352249732,4.120627945784488,,BYD Company,Automotive,China,Growth,2025-10-11
PYPL,-7.741084341599347,,1.2527655192179001,0.3273473930603812,14.260231738939899,7.931223843133604,,6.805280306338375,-2.3316062176165815,46.912547999504525,19.079028861637557,,5.865098963360367,105.62478298611111,0.7479305307579939,,PayPal,Fintech,US,Blend,2025-10-11
GOOGL,33.307962389323855,,1.0495012865005027,0.2872904399464228,24.798813465864395,2.328202866582382,,13.866243322901568,35.6704383765838,58.94253888674983,32.67914022385629,,23.020079553353927,660.2100117055704,0.11965889429018703,,Alphabet,Tech,US,Blend,2025-10-11
