ticker,beta_spx,volatility_30d,mom_1m,mom_3m,mom_6m,mom_12m,pe_ttm,pe_forward,peg_ratio,ps_ratio,pb_ratio,ev_ebitda,fcf_yield,earnings_yield,dividend_yield,revenue_yoy,revenue_cagr_3y,revenue_cagr_5y,eps_yoy,eps_cagr_3y,eps_cagr_5y,ebitda_yoy,fcf_yoy,gross_margin,operating_margin,net_margin,ebitda_margin,fcf_margin,roe,roa,roic,roc,asset_turnover,inventory_turnover,receivables_turnover,debt_to_equity,debt_to_assets,net_debt_ebitda,interest_coverage,current_ratio,quick_ratio,payout_ratio,dividend_growth_5y,name,sector,region,style,asof_date
SPHR,,,3.6324408582733447,40.97472917973164,,,,-10.110033,,2.1614895,0.9721639,-38.566,-5.8432538011431,,,78.9532109628096,16.61623266761376,,-139.90854701534693,,,-106.29954726046383,-69.70808600874655,45.7335015243363,-29.638734826154884,-4.4770742854831616,45.795814774180826,-16.612105707539776,,-0.7398036547190288,,7.5674221557211405,0.1652426579379819,66.52350121920458,3.2764077143200274,,31.72047322704856,2.646790130271583,,0.6302031920190787,0.6215454008077597,,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-14
TSM,,,14.74098938691637,31.158444845986466,,,32.9934,37.117577,,0.45733583,1.6977351,2.667,59.739191368805464,3.0309092121454593,110.00000000000001,33.88813286063912,22.166296051413248,,36.00162021274096,25.051430050757606,,36.470149000975915,200.51952601974605,58.58193689765899,48.717459450044416,42.45725167986392,72.62874507818215,27.320873421851132,,21.57959256995393,,36.91474755530481,0.508266355360642,11.815100681282585,12.500367914192436,,15.646726191672581,-0.43743983595079017,,2.359942059635386,2.139969185176944,1.1996066959745049,166.0,TSMC,Semiconductors,Asia,Blend,2025-10-14
BAKKA.OL,,,-2.869020331178529,-0.9329927564756146,,,77.47927,11.70634,,4.238768,2.6570818,31.757,-0.2293836431196392,1.2906678134680412,280.0,2.700309164918635,9.709064277536438,,-31.287582123414825,-12.016841551676904,,-10.769619421871768,-3475.188600167645,61.06673939649412,5.0678459117613945,3.4145246894212824,17.970170192586348,-0.9510462796417957,,1.2906147882201875,,6.7923267531904665,0.37797787557920093,1.7535815505750876,,,21.38311153558576,2.747867736789714,,6.7546853004528415,1.7845251032951377,347.48616225860894,190.0,Bakkafrost,Food,Europe,Value,2025-10-14
UBER,,,-4.026298218488112,1.0437782120612527,,,16.16184,40.199154,,4.1800017,8.760735,38.662,4.316539528566255,6.1874143043118845,,17.963573938467327,36.07297310190785,,422.3105458399576,,,42.573471008737094,105.08625817965496,39.69491453804061,9.526525955504848,26.67596289957956,16.397287190213603,18.04314297183664,,24.638982124736554,,15.145187729295136,0.9236398407618452,,12.406553079947575,,21.711810163141052,0.674268779796418,,1.06700941094458,,,,Uber Technologies,Mobility,US,Growth,2025-10-14
GRAB,,,-3.0130284495499704,18.862268496046152,,,298.0,198.66667,,7.902325,3.8180654,164.369,2.5065516931386096,0.33557046979865773,,18.56718948707079,60.61874609877733,,,,,-141.89189189189187,-12416.666666666668,42.87109375,2.799479166666667,3.61328125,8.365885416666668,19.82421875,,1.1941904249596558,,2.764927380311996,0.3305002689618074,52.067796610169495,4.733436055469954,,3.9160839160839163,-10.116731517509727,,2.533179012345679,2.5104166666666665,,,Grab Holdings,SuperApp,Asia,Growth,2025-10-14
ZTS,,,-3.141881176549144,-8.687003291732742,,,24.423275,22.34306,,6.6893077,12.635358,17.258,3.5346127549448547,4.09445498197928,141.0,8.333333333333325,5.97962163454151,,6.058020477815695,6.865297331786646,,5.1554828150572884,41.76434299814928,71.45444858817261,37.50665956313266,27.831646244006393,42.8236547682472,23.644112946190727,,18.346561775654983,,28.229261782678932,0.6591978647186907,4.069817866435386,7.13145896656535,,47.369530097632925,1.1841254043294351,,1.7543962485345839,1.078546307151231,33.93441592649311,79.0,Zoetis,Healthcare,US,Blend,2025-10-14
NU,,,-5.341924914001472,15.226472481934916,,,32.053192,24.298386,,12.445916,7.604745,,5.023385338260173,3.119814089030509,,46.82767821505831,93.28610591122455,,91.36871318641863,,,,104.19414131287033,,,25.65074890756085,,40.783446960982225,,4.606471214579321,,,0.17958427768249335,,0.6454922211834582,,1.1574943881797066,,,,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-14
BYD,,,-0.32347462383164327,1.2473869252117575,,,12.879256,12.899224,,1.6563511,4.8092484,8.49,6.954900071619714,7.7644236592548515,88.0,5.127789493731694,5.261492729484396,,-6.7853934450818665,7.6067013371734715,,2.1268758457288817,2.980024640839418,51.602120701418464,23.730896158723887,14.015632650102141,30.108766141870696,11.51975656723251,,8.831779392864156,,18.97267051690326,0.6301377621223393,189.6738403578997,24.820360499152674,,61.50359483182789,2.9805508048994884,,0.901751286766182,0.8676489717915158,10.227015268081578,210.0,BYD Company,Automotive,China,Growth,2025-10-14
PYPL,,,2.5704044977389318,-6.841250977035407,,,14.74304,14.079755,,2.036969,3.2718718,10.396,8.045267153055407,6.782861607918041,,6.805280306338379,7.815910254312786,,-2.3316062176165775,-0.17621181883088477,,-1.2737920937042513,60.355450236966824,46.912547999504525,19.079028861637557,14.48965688096123,22.485445311532267,16.387959866220736,,5.733295756699464,,8.89708495178346,0.39568195463846784,,0.7078784690253848,,12.104985847496048,0.45696185098471287,,1.2628576153464528,,,,PayPal,Fintech,US,Blend,2025-10-14
GOOGL,,,-2.007075648625889,35.922301350015815,,,26.285713,27.517857,,8.036057,8.223327,20.585,2.235755748369408,3.804348012169196,34.0,13.86624332290156,10.754330242226517,,35.67043837658379,9.606593302753442,,38.19803819497607,4.703935534930581,58.94253888674983,32.67914022385629,31.118285186551393,42.47399696822016,17.966661191871815,,25.668286485910237,,35.03517998649657,0.8248618563661562,,7.095892243026366,,5.654783056749938,0.012646753049167027,,1.8369313974102914,,4.227873292204927,,Alphabet,Tech,US,Blend,2025-10-14
